Date,Car,Listing Title,Asking Price,Market Baseline,vs Market,Year,Mileage,Country,Seller,Source,URL
2026-05-30,Porsche 911 GT2 RS,2019 Porsche 911 GT2 RS,"€482,500","€445,000",8.4% ABOVE,2019,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C1978641
2026-05-30,Porsche 911 GT2 RS,Porsche 911 GT2 RS,"€625,944","€445,000",40.7% ABOVE,N/A,"2,330 miles",EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2075889
2026-05-30,Ferrari Daytona SP3,No listings found today,,,,,,,,,
2026-05-30,Ferrari Monza SP1,No listings found today,,,,,,,,,
2026-05-30,Ferrari Monza SP2,No listings found today,,,,,,,,,
2026-05-30,Ferrari F12 TDF,2016 Ferrari F12 TDF,"€1,825,000","€1,400,000",30.4% ABOVE,2016,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2053138
2026-05-30,Ferrari 812 Competizione,2024 Ferrari 812 Competizione,"€1,575,000","€1,420,000",10.9% ABOVE,2024,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2076498
2026-05-30,Ferrari 812 Competizione,2023 Ferrari 812 Competizione,"€2,047,500","€1,420,000",44.2% ABOVE,2023,113 miles,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C1962034
2026-05-30,Ferrari 488 Pista,2019 Ferrari 488 Pista,"€450,392","€460,000",2.1% BELOW,2019,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C1134746
2026-05-30,Ferrari 488 Pista,Ferrari 488 Pista,"€462,150","€460,000",0.5% ABOVE,N/A,"10,200 miles",EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2052805
2026-05-30,Ferrari 488 Pista,2019 Ferrari 488 Pista,"€470,000","€460,000",2.2% ABOVE,2019,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2070434
2026-05-30,Ferrari 488 Pista,2019 Ferrari 488 Pista,"€514,788","€460,000",11.9% ABOVE,2019,"6,000 miles",EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2070233
2026-05-30,Ferrari 488 Pista,2020 Ferrari 488 Pista,"€760,494","€460,000",65.3% ABOVE,2020,"3,500 miles",EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2060561
2026-05-30,Ferrari 488 Pista,2020 Ferrari 488 Pista,"€765,850","€460,000",66.5% ABOVE,2020,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2070402
2026-05-30,Ferrari 488 Pista,2020 Ferrari 488 Pista,"€789,750","€460,000",71.7% ABOVE,2020,"8,397 miles",EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2075668
2026-05-30,Ferrari 488 Pista,2020 Ferrari 488 Pista,"€999,999","€460,000",117.4% ABOVE,2020,N/A,EU,Dealer/Private,Car and Classic,https://www.carandclassic.com/car/C2029952
